lead_id,date,channel,ad_id,n_ad_ids,converted,outcome,Message_count,n_followups,booked_after_followup,followup_arm,last_contact
L001,08/23/2026 2:33pm,Messenger,120253849900640039,2,0,quoted_no_book,6,0,0,A,
L002,08/23/2026 7:46am,Phone,,0,0,never_answered,0,0,0,,
L003,08/22/2026 8:53pm,Phone,,0,0,quoted_no_book,7,0,0,B,
L004,08/22/2026 7:55pm,Phone,,0,0,never_answered,0,0,0,,
L005,08/22/2026 6:05pm,Instagram,120253793388980039,1,0,quoted_no_book,5,0,0,A,
L006,08/22/2026 1:04pm,Messenger,120253793388980039,1,0,quoted_no_book,5,0,0,B,
L007,08/22/2026 12:43pm,Instagram,120252868040820039,1,0,quoted_no_book,7,0,0,A,
L008,08/21/2026 9:31pm,Messenger,120253793388980039,1,0,quoted_no_book,5,0,0,B,
L009,08/21/2026 8:20pm,Messenger,120253793388980039,1,0,price_objection,13,0,0,,
L010,08/21/2026 6:50pm,Messenger,120253793388980039,1,0,quoted_no_book,7,0,0,B,
L011,08/21/2026 3:18pm,Messenger,,0,0,never_answered,2,0,0,,
C35,08/21/2026 8:11am,Messenger,120253793388980039,1,1,booked,2,0,0,,
L013,08/21/2026 7:19am,Messenger,120253793388980039,1,0,booked,20,0,0,,
L014,08/21/2026 3:42am,Messenger,120253793388980039,1,0,quoted_no_book,7,0,0,A,
L015,08/21/2026 3:33am,Instagram,120253793388980039,1,0,quoted_no_book,2,0,0,B,
L016,08/21/2026 12:48am,Messenger,120253793388980039,1,0,quoted_no_book,6,0,0,A,
L017,08/20/2026 8:05pm,Messenger,120253793388980039,1,0,quoted_no_book,10,0,0,B,
L018,08/20/2026 5:59pm,Messenger,120253793388980039,1,0,quoted_no_book,3,0,0,B,
L019,08/20/2026 2:39pm,Instagram,120253793388980039,1,0,quoted_no_book,10,0,0,A,
L020,08/20/2026 11:49am,Instagram,120253793388980039,1,0,quoted_no_book,7,0,0,B,
L021,08/20/2026 11:34am,Instagram,120253793388980039,1,0,quoted_no_book,3,0,0,B,
L022,08/20/2026 8:24am,Messenger,120253793388980039,1,0,quoted_no_book,5,0,0,B,
L023,08/20/2026 7:51am,Instagram,120253793388980039,1,0,quoted_no_book,2,0,0,B,
L024,08/10/2026 5:06pm,Messenger,120253287551430039,1,0,not_a_customer,2,0,0,,
C33,08/10/2026 4:07pm,Instagram,120253287551430039,1,1,booked,47,0,0,,
L025,08/10/2026 9:52am,Instagram,120253287551430039,1,0,never_answered,2,0,0,,
L026,08/07/2026 7:29pm,Instagram,120253442058610039,1,0,quoted_no_book,2,0,0,A,
L027,08/07/2026 4:59pm,Messenger,120253442058610039,1,0,quoted_no_book,12,0,0,A,
L028,08/07/2026 3:08pm,Messenger,120253287551430039,1,0,price_objection,3,0,0,,
L029,08/07/2026 2:43pm,Messenger,120253442058610039,1,0,never_answered,2,0,0,,
L030,08/07/2026 10:14am,Instagram,120253442891690039,1,0,never_answered,3,0,0,,
L031,08/07/2026 1:33am,Messenger,120253442058610039|120253287551430039,2,0,quoted_no_book,17,0,0,A,
L032,08/06/2026 8:00pm,Messenger,120253287551430039,1,0,never_answered,3,0,0,,
L033,08/06/2026 4:10pm,Messenger,120253287551430039,1,0,quoted_no_book,11,0,0,A,
L034,08/06/2026 1:40pm,Messenger,120253287551430039,1,0,quoted_no_book,4,0,0,A,
L035,08/06/2026 9:44am,Messenger,120253287551430039,1,0,quoted_no_book,8,0,0,B,
L036,08/06/2026 8:51am,Instagram,120253287551430039,1,0,not_a_customer,8,0,0,,
L037,08/06/2026 7:13am,Messenger,120253287551430039,1,0,not_a_customer,4,0,0,,
L038,08/05/2026 4:22pm,Messenger,120253287551430039,1,0,booked,11,0,0,,
L039,08/04/2026 11:33pm,Messenger,120253287551430039,1,0,quoted_no_book,6,0,0,A,
L040,08/04/2026 9:13pm,Messenger,120253287551430039,1,0,quoted_no_book,15,0,0,A,
L041,08/04/2026 6:45pm,Messenger,120253442058610039|120253287551430039,2,0,quoted_no_book,14,0,0,B,
L042,08/04/2026 6:07pm,Messenger,,0,0,not_a_customer,2,0,0,,
L043,08/04/2026 9:43am,Instagram,120253287551430039,1,0,quoted_no_book,3,0,0,B,
L044,08/03/2026 9:52pm,Messenger,120253287551430039,1,0,quoted_no_book,6,0,0,A,
L045,08/03/2026 7:25pm,Instagram,120253287551430039,1,0,quoted_no_book,3,0,0,B,
L046,08/02/2026 9:33pm,Instagram,120253287551430039,1,0,quoted_no_book,5,0,0,A,
L047,08/01/2026 6:57pm,Messenger,120252723529940039,1,0,quoted_no_book,11,0,0,B,
L048,08/01/2026 5:05pm,Messenger,120252723529940039,1,0,quoted_no_book,12,0,0,A,
L049,08/01/2026 11:27am,Instagram,120252723529940039,1,0,quoted_no_book,12,0,0,B,
L050,07/31/2026 4:34pm,Messenger,120252723529940039,1,0,booked,13,0,0,,
L051,07/30/2026 9:27pm,Instagram,120253100350450039,1,0,quoted_no_book,4,0,0,B,
L052,07/30/2026 6:55pm,Instagram,120253100350450039,1,0,quoted_no_book,6,0,0,B,
L053,07/30/2026 5:27pm,Instagram,120253100350450039,1,0,never_answered,3,0,0,,
C27,07/30/2026 7:38am,Messenger,120253100350450039,1,1,booked,33,0,0,,
L054,07/30/2026 5:45am,Instagram,120253100350450039,1,0,booked,16,0,0,,
L055,07/29/2026 8:27pm,Instagram,120253100350450039,1,0,never_answered,3,0,0,,
L056,07/29/2026 5:26pm,Instagram,120253100350450039,1,0,never_answered,3,0,0,,
L057,07/29/2026 1:31pm,Instagram,120253287551430039|120253100350450039,2,0,quoted_no_book,11,0,0,B,
L058,07/29/2026 11:48am,Instagram,120253100350450039,1,0,quoted_no_book,3,0,0,B,
L059,07/29/2026 8:23am,Instagram,120253100350450039,1,0,not_a_customer,4,0,0,,
L060,07/29/2026 6:54am,Instagram,120253100350450039,1,0,never_answered,4,0,0,,
L061,07/28/2026 2:28pm,Instagram,120253100350450039,1,0,never_answered,3,0,0,,
L062,07/28/2026 11:38am,Instagram,120253100350450039,1,0,quoted_no_book,9,0,0,A,
L063,07/28/2026 11:09am,Instagram,120253100350450039,1,0,quoted_no_book,9,0,0,A,
L064,07/27/2026 8:29pm,Instagram,120253100350450039,1,0,quoted_no_book,8,0,0,B,
L065,07/27/2026 4:14pm,Messenger,120252723529940039,1,0,quoted_no_book,8,0,0,A,
L066,07/27/2026 3:09am,Messenger,120253100350450039,2,0,never_answered,3,0,0,,
L067,07/25/2026 6:10pm,Instagram,120252966295150039,1,0,quoted_no_book,3,0,0,A,
L068,07/25/2026 3:21pm,Instagram,120252966295150039,1,0,never_answered,3,0,0,,
L069,07/25/2026 3:21pm,Instagram,120252966295150039,1,0,never_answered,3,0,0,,
L070,07/25/2026 9:18am,Instagram,120252966295150039,1,0,quoted_no_book,10,0,0,A,
L071,07/25/2026 9:11am,Instagram,120252966295150039,1,0,quoted_no_book,16,0,0,B,
L072,07/25/2026 7:25am,Instagram,120252966295150039,1,0,never_answered,3,0,0,,
L073,07/24/2026 9:42pm,Instagram,120252966295150039,1,0,quoted_no_book,5,0,0,A,
C21,07/24/2026 9:27pm,Instagram,120252966295150039,1,1,booked,19,0,0,,
C17,07/24/2026 3:27pm,Instagram,120252966295150039,1,1,booked,20,0,0,,
L074,07/24/2026 2:35pm,Instagram,120252966295150039,1,0,quoted_no_book,4,0,0,A,
L075,07/23/2026 6:28pm,Messenger,120252966295150039,1,0,quoted_no_book,10,0,0,A,
L076,07/22/2026 6:55pm,Instagram,,0,0,quoted_no_book,4,0,0,B,
C24,07/22/2026 4:38pm,Instagram,120253100350450039|120252663188090039,2,1,booked,18,0,0,,
L077,07/22/2026 11:57am,Instagram,120252966295150039,1,0,quoted_no_book,3,0,0,A,
L078,07/22/2026 11:09am,Instagram,120252966295150039,1,0,quoted_no_book,3,0,0,B,
L079,07/21/2026 2:08pm,Instagram,120252966295150039,1,0,quoted_no_book,12,0,0,A,
L080,07/21/2026 6:49am,Instagram,120252966580290039,1,0,quoted_no_book,14,0,0,A,
L081,07/21/2026 2:36am,Instagram,120252966295150039,1,0,quoted_no_book,4,0,0,B,
L082,07/20/2026 4:56pm,Messenger,120252868040820039,1,0,quoted_no_book,8,0,0,B,
L083,07/20/2026 8:57am,Instagram,120252868040820039,1,0,never_answered,3,0,0,,
L084,07/19/2026 5:39pm,Instagram,120252932263810039,1,0,booked,6,0,0,,
C11,07/18/2026 1:11pm,Instagram,120252914195890039,1,1,booked,23,0,0,,
L085,07/18/2026 11:31am,Instagram,120252914195890039,1,0,booked,22,0,0,,
L086,07/17/2026 9:11pm,Messenger,120252868040820039,1,0,price_objection,4,0,0,,
L087,07/17/2026 7:04pm,Messenger,120252868040820039,1,0,booked,28,0,0,,
L088,07/17/2026 5:45pm,Instagram,120252868040820039,1,0,quoted_no_book,12,0,0,A,
C09,07/17/2026 5:19pm,Instagram,120252868040820039,1,1,booked,20,0,0,,
L089,07/17/2026 3:35pm,Instagram,120252868040820039,1,0,quoted_no_book,3,0,0,B,
L090,07/17/2026 12:47pm,Messenger,120252868040820039,1,0,quoted_no_book,8,0,0,B,
L091,07/16/2026 3:33pm,Messenger,120252868040820039,1,0,quoted_no_book,5,0,0,B,
L092,07/16/2026 2:57pm,Instagram,120252868040820039,1,0,quoted_no_book,5,0,0,A,
L093,07/16/2026 1:53pm,Messenger,120252868040820039,1,0,quoted_no_book,3,0,0,B,
C12,07/16/2026 8:26am,Instagram,120252868040820039,1,1,booked,6,0,0,,
L094,07/16/2026 7:36am,Instagram,120252723529940039,1,0,never_answered,3,0,0,,
L095,07/12/2026 8:29pm,Instagram,120252723529940039,1,0,not_a_customer,0,0,0,,
L096,07/12/2026 6:25pm,Instagram,120252723529940039,1,0,never_answered,3,0,0,,
L097,07/12/2026 9:24am,Messenger,120252723529940039,1,0,never_answered,3,0,0,,
L098,07/12/2026 7:11am,Instagram,120252723529940039,1,0,never_answered,3,0,0,,
L099,07/12/2026 5:37am,Messenger,120252723529940039,1,0,quoted_no_book,3,0,0,B,
L100,07/11/2026 11:34pm,Instagram,120252723529940039,1,0,quoted_no_book,3,0,0,A,
L101,07/11/2026 11:26pm,Messenger,120252723529940039,1,0,never_answered,3,0,0,,
L102,07/11/2026 11:26pm,Messenger,,0,0,never_answered,3,0,0,,
L103,07/11/2026 11:26pm,Messenger,120252663188090039,1,0,not_a_customer,0,0,0,,
L104,07/11/2026 11:26pm,Messenger,120252663188090039,1,0,not_a_customer,0,0,0,,
L105,07/11/2026 11:26pm,Messenger,120253793388980039|120252723529940039,2,0,quoted_no_book,3,0,0,B,
L106,07/11/2026 11:26pm,Messenger,120252723529940039,1,0,booked,16,0,0,,
L107,07/11/2026 11:26pm,Messenger,120252723529940039,1,0,quoted_no_book,8,0,0,A,
L108,07/11/2026 11:26pm,Messenger,120252723529940039,1,0,out_of_area,6,0,0,,
C34,08/24/2026 10:50am,Messenger,120253849900640039,1,1,booked,11,0,0,,
