Campaign name,Ad set name,Ad name,Gender,Ads,Age,Day,Result type,Results,Cost per result,Amount spent (USD),Checkouts initiated,Cost per checkout initiated,Cost per purchase,Purchases conversion value,Purchase ROAS (return on ad spend),Reporting starts,Reporting ends,Results (initial)
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,55-64,2026-08-10,Messaging conversations started,1.0,0.7,0.7,,,,,,2026-08-10,2026-08-10,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,35-44,2026-08-10,Messaging conversations started,1.0,2.06,2.06,,,,,,2026-08-10,2026-08-10,
Deluxe Ad,New Engagement Ad Set,Deluxe,male,Deluxe,25-34,2026-08-07,Messaging conversations started,1.0,1.17,1.17,,,,,,2026-08-07,2026-08-07,
Deluxe Ad,New Engagement Ad Set,Deluxe,female,Deluxe,45-54,2026-08-07,Messaging conversations started,1.0,1.68,1.68,,,,,,2026-08-07,2026-08-07,
Deluxe Ad,New Engagement Ad Set,Deluxe,female,Deluxe,65+,2026-08-07,Messaging conversations started,1.0,4.08,4.08,,,,,,2026-08-07,2026-08-07,
Deluxe Ad,New Engagement Ad Set,Deluxe,male,Deluxe,35-44,2026-08-07,Messaging conversations started,1.0,3.48,3.48,,,,,,2026-08-07,2026-08-07,
Deluxe Ad,New Engagement Ad Set,Deluxe,male,Deluxe,65+,2026-08-07,Messaging conversations started,2.0,1.655,3.31,,,,,,2026-08-07,2026-08-07,
Deluxe Ad,New Engagement Ad Set,Deluxe,male,Deluxe,45-54,2026-08-07,Messaging conversations started,1.0,2.4,2.4,,,,,,2026-08-07,2026-08-07,
Deluxe Ad,New Engagement Ad Set,Deluxe,male,Deluxe,55-64,2026-08-07,Messaging conversations started,1.0,1.63,1.63,,,,,,2026-08-07,2026-08-07,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,65+,2026-08-07,Messaging conversations started,1.0,0.0,0.0,,,,,,2026-08-07,2026-08-07,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,55-64,2026-08-06,Messaging conversations started,1.0,2.32,2.32,,,,,,2026-08-06,2026-08-06,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,65+,2026-08-06,Messaging conversations started,1.0,4.51,4.51,,,,,,2026-08-06,2026-08-06,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,65+,2026-08-06,Messaging conversations started,5.0,0.504,2.52,,,,,,2026-08-06,2026-08-06,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,25-34,2026-08-06,Messaging conversations started,2.0,1.46,2.92,,,,,,2026-08-06,2026-08-06,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,35-44,2026-08-05,Messaging conversations started,1.0,2.57,2.57,,,,,,2026-08-05,2026-08-05,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,65+,2026-08-05,Messaging conversations started,2.0,1.905,3.81,,,,,,2026-08-05,2026-08-05,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,65+,2026-08-05,Messaging conversations started,1.0,3.41,3.41,,,,,,2026-08-05,2026-08-05,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,65+,2026-08-04,Messaging conversations started,1.0,3.57,3.57,,,,,,2026-08-04,2026-08-04,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,25-34,2026-08-04,Messaging conversations started,1.0,1.1,1.1,,,,,,2026-08-04,2026-08-04,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,45-54,2026-08-04,Messaging conversations started,1.0,1.91,1.91,,,,,,2026-08-04,2026-08-04,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,65+,2026-08-04,Messaging conversations started,2.0,1.115,2.23,,,,,,2026-08-04,2026-08-04,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,55-64,2026-08-04,Messaging conversations started,2.0,0.915,1.83,,,,,,2026-08-04,2026-08-04,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,55-64,2026-08-04,Messaging conversations started,2.0,0.98,1.96,,,,,,2026-08-04,2026-08-04,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,35-44,2026-08-03,Messaging conversations started,1.0,4.46,4.46,,,,,,2026-08-03,2026-08-03,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,45-54,2026-08-03,Messaging conversations started,2.0,0.59,1.18,,,,,,2026-08-03,2026-08-03,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,65+,2026-08-03,Messaging conversations started,3.0,1.2,3.6,,,,,,2026-08-03,2026-08-03,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,65+,2026-08-02,Messaging conversations started,1.0,1.53,1.53,,,,,,2026-08-02,2026-08-02,
August Camp,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,55-64,2026-08-02,Messaging conversations started,1.0,0.74,0.74,,,,,,2026-08-02,2026-08-02,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,55-64,2026-08-02,Messaging conversations started,1.0,1.77,1.77,,,,,,2026-08-02,2026-08-02,
August Camp,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,35-44,2026-08-02,Messaging conversations started,1.0,1.78,1.78,,,,,,2026-08-02,2026-08-02,
"Post: ""Real results, real feedback. 🚗🔥""","Post: ""Real results, real feedback. 🚗🔥""","Post: ""Real results, real feedback. 🚗🔥""",male,"Post: ""Real results, real feedback. 🚗🔥""",65+,2026-08-01,Messaging conversations started,2.0,0.465,0.93,,,,,,2026-08-01,2026-08-01,
"Post: ""Real results, real feedback. 🚗🔥""","Post: ""Real results, real feedback. 🚗🔥""","Post: ""Real results, real feedback. 🚗🔥""",male,"Post: ""Real results, real feedback. 🚗🔥""",35-44,2026-08-01,Messaging conversations started,1.0,2.55,2.55,,,,,,2026-08-01,2026-08-01,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,35-44,2026-07-31,Messaging conversations started,1.0,1.48,1.48,,,,,,2026-07-31,2026-07-31,
"Post: ""Real results, real feedback. 🚗🔥""","Post: ""Real results, real feedback. 🚗🔥""","Post: ""Real results, real feedback. 🚗🔥""",female,"Post: ""Real results, real feedback. 🚗🔥""",55-64,2026-07-31,Messaging conversations started,1.0,0.52,0.52,,,,,,2026-07-31,2026-07-31,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,65+,2026-07-30,Messaging conversations started,1.0,1.38697662,1.38697662,,,,,,2026-07-30,2026-07-30,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,35-44,2026-07-30,Messaging conversations started,2.0,1.69131321,3.38262643,,,,,,2026-07-30,2026-07-30,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,45-54,2026-07-30,Messaging conversations started,1.0,2.37482327,2.37482327,,,,,,2026-07-30,2026-07-30,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,55-64,2026-07-29,Messaging conversations started,1.0,1.47,1.47,,,,,,2026-07-29,2026-07-29,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,45-54,2026-07-29,Messaging conversations started,1.0,2.44,2.44,,,,,,2026-07-29,2026-07-29,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,35-44,2026-07-29,Messaging conversations started,2.0,2.425,4.85,,,,,,2026-07-29,2026-07-29,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,45-54,2026-07-29,Messaging conversations started,1.0,2.15,2.15,,,,,,2026-07-29,2026-07-29,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,35-44,2026-07-29,Messaging conversations started,4.0,1.2375,4.95,,,,,,2026-07-29,2026-07-29,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,65+,2026-07-29,Messaging conversations started,1.0,1.88,1.88,,,,,,2026-07-29,2026-07-29,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,female,New Engagement Ad,55-64,2026-07-29,Messaging conversations started,2.0,1.095,2.19,,,,,,2026-07-29,2026-07-29,
New Engagement Campaign,New Engagement Ad Set,New Engagement Ad,male,New Engagement Ad,55-64,2026-07-28,Messaging conversations started,1.0,1.55,1.55,,,,,,2026-07-28,2026-07-28,
