campaign,spend,cpm,reach,impressions,link_ctr,messages
Denise's reaction,42.84,17.44,2016,2456,0.0216,17
New Engagement Campaign #1,96.20,23.81,3019,4040,0.0181,32
Deluxe Ad,24.21,16.30,1316,1485,0.0209,8
August Camp,113.13,17.85,4102,6337,0.0249,35
New Engagement Campaign #2,72.14,13.07,4538,5519,0.0154,21
Real results real fee,130.47,18.44,5880,7075,0.0287,26
Full step-by-step,26.34,20.00,969,1317,0.0091,5
Don't ignore your drain,48.80,15.73,2642,3102,0.0245,8
Think that pe...,10.35,14.74,664,702,0.0313,1
New Engagement Campaign #3,10.37,12.98,743,799,0.02,1
Algae-filled post (v1),5.53,17.28,270,320,0.0063,0
JULY SPECIAL ALERT,3.67,19.11,152,192,0.0052,0
New Engagement Campaign #4,9.32,16.01,526,582,0.0086,0
New Engagement Campaign #5,1.75,13.06,132,134,0.0,0
